class,track,vehicle,file,template_vehicle,template_status,confidence
GT3,Monza,Lamborghini Huracán LMGT3 Evo2,GT3/Monza/Lamborghini Huracán LMGT3 Evo2 - Monza - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Monza,Lexus RC F LMGT3,GT3/Monza/Lexus RC F LMGT3 - Monza - Stable.svm,Lexus RC F LMGT3,EXACT,B
GT3,Monza,Porsche 911 GT3 R LMGT3,GT3/Monza/Porsche 911 GT3 R LMGT3 - Monza - Stable.svm,Porsche 911 GT3 R LMGT3,EXACT,B
GT3,Portimão,Ford Mustang LMGT3,GT3/Portimão/Ford Mustang LMGT3 - Portimão - Stable.svm,Ford Mustang LMGT3,EXACT,B
GT3,Portimão,McLaren 720S LMGT3 Evo,GT3/Portimão/McLaren 720S LMGT3 Evo - Portimão - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Portimão,Mercedes-AMG LMGT3,GT3/Portimão/Mercedes-AMG LMGT3 - Portimão - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Portimão,BMW M4 LMGT3 Evo,GT3/Portimão/BMW M4 LMGT3 Evo - Portimão - Stable.svm,BMW M4 LMGT3 Evo,EXACT,B
GT3,Portimão,Aston Martin Vantage AMR LMGT3 Evo,GT3/Portimão/Aston Martin Vantage AMR LMGT3 Evo - Portimão - Stable.svm,Ford Mustang LMGT3,INFERRED_VALIDATE,B
GT3,Portimão,Corvette Z06 LMGT3.R,GT3/Portimão/Corvette Z06 LMGT3.R - Portimão - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Portimão,Ferrari 296 LMGT3,GT3/Portimão/Ferrari 296 LMGT3 - Portimão - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Portimão,Lamborghini Huracán LMGT3 Evo2,GT3/Portimão/Lamborghini Huracán LMGT3 Evo2 - Portimão - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Portimão,Lexus RC F LMGT3,GT3/Portimão/Lexus RC F LMGT3 - Portimão - Stable.svm,Lexus RC F LMGT3,EXACT,B
GT3,Portimão,Porsche 911 GT3 R LMGT3,GT3/Portimão/Porsche 911 GT3 R LMGT3 - Portimão - Stable.svm,Porsche 911 GT3 R LMGT3,EXACT,B
GT3,Sebring,Ford Mustang LMGT3,GT3/Sebring/Ford Mustang LMGT3 - Sebring - Stable.svm,Ford Mustang LMGT3,EXACT,B
GT3,Sebring,McLaren 720S LMGT3 Evo,GT3/Sebring/McLaren 720S LMGT3 Evo - Sebring - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Sebring,Mercedes-AMG LMGT3,GT3/Sebring/Mercedes-AMG LMGT3 - Sebring - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Sebring,BMW M4 LMGT3 Evo,GT3/Sebring/BMW M4 LMGT3 Evo - Sebring - Stable.svm,BMW M4 LMGT3 Evo,EXACT,B
GT3,Sebring,Aston Martin Vantage AMR LMGT3 Evo,GT3/Sebring/Aston Martin Vantage AMR LMGT3 Evo - Sebring - Stable.svm,Ford Mustang LMGT3,INFERRED_VALIDATE,B
GT3,Sebring,Corvette Z06 LMGT3.R,GT3/Sebring/Corvette Z06 LMGT3.R - Sebring - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Sebring,Ferrari 296 LMGT3,GT3/Sebring/Ferrari 296 LMGT3 - Sebring - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Sebring,Lamborghini Huracán LMGT3 Evo2,GT3/Sebring/Lamborghini Huracán LMGT3 Evo2 - Sebring - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Sebring,Lexus RC F LMGT3,GT3/Sebring/Lexus RC F LMGT3 - Sebring - Stable.svm,Lexus RC F LMGT3,EXACT,B
GT3,Sebring,Porsche 911 GT3 R LMGT3,GT3/Sebring/Porsche 911 GT3 R LMGT3 - Sebring - Stable.svm,Porsche 911 GT3 R LMGT3,EXACT,B
GT3,Silverstone International,Ford Mustang LMGT3,GT3/Silverstone International/Ford Mustang LMGT3 - Silverstone International - Stable.svm,Ford Mustang LMGT3,EXACT,B
GT3,Silverstone International,McLaren 720S LMGT3 Evo,GT3/Silverstone International/McLaren 720S LMGT3 Evo - Silverstone International - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Silverstone International,Mercedes-AMG LMGT3,GT3/Silverstone International/Mercedes-AMG LMGT3 - Silverstone International - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Silverstone International,BMW M4 LMGT3 Evo,GT3/Silverstone International/BMW M4 LMGT3 Evo - Silverstone International - Stable.svm,BMW M4 LMGT3 Evo,EXACT,B
GT3,Silverstone International,Aston Martin Vantage AMR LMGT3 Evo,GT3/Silverstone International/Aston Martin Vantage AMR LMGT3 Evo - Silverstone International - Stable.svm,Ford Mustang LMGT3,INFERRED_VALIDATE,B
GT3,Silverstone International,Corvette Z06 LMGT3.R,GT3/Silverstone International/Corvette Z06 LMGT3.R - Silverstone International - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Silverstone International,Ferrari 296 LMGT3,GT3/Silverstone International/Ferrari 296 LMGT3 - Silverstone International - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Silverstone International,Lamborghini Huracán LMGT3 Evo2,GT3/Silverstone International/Lamborghini Huracán LMGT3 Evo2 - Silverstone International - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Silverstone International,Lexus RC F LMGT3,GT3/Silverstone International/Lexus RC F LMGT3 - Silverstone International - Stable.svm,Lexus RC F LMGT3,EXACT,B
GT3,Silverstone International,Porsche 911 GT3 R LMGT3,GT3/Silverstone International/Porsche 911 GT3 R LMGT3 - Silverstone International - Stable.svm,Porsche 911 GT3 R LMGT3,EXACT,B
GT3,Spa-Francorchamps,Ford Mustang LMGT3,GT3/Spa-Francorchamps/Ford Mustang LMGT3 - Spa-Francorchamps - Stable.svm,Ford Mustang LMGT3,EXACT,B
GT3,Spa-Francorchamps,McLaren 720S LMGT3 Evo,GT3/Spa-Francorchamps/McLaren 720S LMGT3 Evo - Spa-Francorchamps - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Spa-Francorchamps,Mercedes-AMG LMGT3,GT3/Spa-Francorchamps/Mercedes-AMG LMGT3 - Spa-Francorchamps - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
GT3,Spa-Francorchamps,BMW M4 LMGT3 Evo,GT3/Spa-Francorchamps/BMW M4 LMGT3 Evo - Spa-Francorchamps - Stable.svm,BMW M4 LMGT3 Evo,EXACT,B
GT3,Spa-Francorchamps,Aston Martin Vantage AMR LMGT3 Evo,GT3/Spa-Francorchamps/Aston Martin Vantage AMR LMGT3 Evo - Spa-Francorchamps - Stable.svm,Ford Mustang LMGT3,INFERRED_VALIDATE,B
GT3,Spa-Francorchamps,Corvette Z06 LMGT3.R,GT3/Spa-Francorchamps/Corvette Z06 LMGT3.R - Spa-Francorchamps - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B
