class,track,vehicle,file,template_vehicle,template_status,confidence,release,validation_status,update_scope
GT3,Daytona,Ford Mustang LMGT3,GT3/Daytona/Ford Mustang LMGT3 - Daytona - Stable.svm,Ford Mustang LMGT3,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Daytona,McLaren 720S LMGT3 Evo,GT3/Daytona/McLaren 720S LMGT3 Evo - Daytona - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Daytona,Mercedes-AMG LMGT3,GT3/Daytona/Mercedes-AMG LMGT3 - Daytona - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Daytona,BMW M4 LMGT3 Evo,GT3/Daytona/BMW M4 LMGT3 Evo - Daytona - Stable.svm,BMW M4 LMGT3 Evo,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Daytona,Aston Martin Vantage AMR LMGT3 Evo,GT3/Daytona/Aston Martin Vantage AMR LMGT3 Evo - Daytona - Stable.svm,Ford Mustang LMGT3,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Daytona,Corvette Z06 LMGT3.R,GT3/Daytona/Corvette Z06 LMGT3.R - Daytona - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Daytona,Ferrari 296 LMGT3,GT3/Daytona/Ferrari 296 LMGT3 - Daytona - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Daytona,Lamborghini Huracán LMGT3 Evo2,GT3/Daytona/Lamborghini Huracán LMGT3 Evo2 - Daytona - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Daytona,Lexus RC F LMGT3,GT3/Daytona/Lexus RC F LMGT3 - Daytona - Stable.svm,Lexus RC F LMGT3,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Daytona,Porsche 911 GT3 R LMGT3,GT3/Daytona/Porsche 911 GT3 R LMGT3 - Daytona - Stable.svm,Porsche 911 GT3 R LMGT3,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Laguna Seca,Ford Mustang LMGT3,GT3/Laguna Seca/Ford Mustang LMGT3 - Laguna Seca - Stable.svm,Ford Mustang LMGT3,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Laguna Seca,McLaren 720S LMGT3 Evo,GT3/Laguna Seca/McLaren 720S LMGT3 Evo - Laguna Seca - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Laguna Seca,Mercedes-AMG LMGT3,GT3/Laguna Seca/Mercedes-AMG LMGT3 - Laguna Seca - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Laguna Seca,BMW M4 LMGT3 Evo,GT3/Laguna Seca/BMW M4 LMGT3 Evo - Laguna Seca - Stable.svm,BMW M4 LMGT3 Evo,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Laguna Seca,Aston Martin Vantage AMR LMGT3 Evo,GT3/Laguna Seca/Aston Martin Vantage AMR LMGT3 Evo - Laguna Seca - Stable.svm,Ford Mustang LMGT3,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Laguna Seca,Corvette Z06 LMGT3.R,GT3/Laguna Seca/Corvette Z06 LMGT3.R - Laguna Seca - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Laguna Seca,Ferrari 296 LMGT3,GT3/Laguna Seca/Ferrari 296 LMGT3 - Laguna Seca - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Laguna Seca,Lamborghini Huracán LMGT3 Evo2,GT3/Laguna Seca/Lamborghini Huracán LMGT3 Evo2 - Laguna Seca - Stable.svm,BMW M4 LMGT3 Evo,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Laguna Seca,Lexus RC F LMGT3,GT3/Laguna Seca/Lexus RC F LMGT3 - Laguna Seca - Stable.svm,Lexus RC F LMGT3,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
GT3,Laguna Seca,Porsche 911 GT3 R LMGT3,GT3/Laguna Seca/Porsche 911 GT3 R LMGT3 - Laguna Seca - Stable.svm,Porsche 911 GT3 R LMGT3,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Circuit de la Sarthe,Alpine A424,Hypercar/Circuit de la Sarthe/Alpine A424 - Circuit de la Sarthe - Stable.svm,Alpine A424,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Circuit de la Sarthe,Aston Martin Valkyrie AMR-LMH,Hypercar/Circuit de la Sarthe/Aston Martin Valkyrie AMR-LMH - Circuit de la Sarthe - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Circuit de la Sarthe,BMW M Hybrid V8,Hypercar/Circuit de la Sarthe/BMW M Hybrid V8 - Circuit de la Sarthe - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Circuit de la Sarthe,Cadillac V-Series.R,Hypercar/Circuit de la Sarthe/Cadillac V-Series.R - Circuit de la Sarthe - Stable.svm,Cadillac V-Series.R,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Circuit de la Sarthe,Ferrari 499P,Hypercar/Circuit de la Sarthe/Ferrari 499P - Circuit de la Sarthe - Stable.svm,Alpine A424,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Circuit de la Sarthe,Glickenhaus SCG 007,Hypercar/Circuit de la Sarthe/Glickenhaus SCG 007 - Circuit de la Sarthe - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Circuit de la Sarthe,Isotta Fraschini Tipo 6,Hypercar/Circuit de la Sarthe/Isotta Fraschini Tipo 6 - Circuit de la Sarthe - Stable.svm,Isotta Fraschini Tipo 6,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Circuit de la Sarthe,Lamborghini SC63,Hypercar/Circuit de la Sarthe/Lamborghini SC63 - Circuit de la Sarthe - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Circuit de la Sarthe,Peugeot 9X8,Hypercar/Circuit de la Sarthe/Peugeot 9X8 - Circuit de la Sarthe - Stable.svm,Alpine A424,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Circuit de la Sarthe,Peugeot 9X8 2024,Hypercar/Circuit de la Sarthe/Peugeot 9X8 2024 - Circuit de la Sarthe - Stable.svm,Alpine A424,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Circuit de la Sarthe,Porsche 963,Hypercar/Circuit de la Sarthe/Porsche 963 - Circuit de la Sarthe - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Circuit de la Sarthe,Toyota GR010 Hybrid,Hypercar/Circuit de la Sarthe/Toyota GR010 Hybrid - Circuit de la Sarthe - Stable.svm,Alpine A424,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Circuit de la Sarthe,Vanwall Vandervell 680,Hypercar/Circuit de la Sarthe/Vanwall Vandervell 680 - Circuit de la Sarthe - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Daytona,Alpine A424,Hypercar/Daytona/Alpine A424 - Daytona - Stable.svm,Alpine A424,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Daytona,Aston Martin Valkyrie AMR-LMH,Hypercar/Daytona/Aston Martin Valkyrie AMR-LMH - Daytona - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Daytona,BMW M Hybrid V8,Hypercar/Daytona/BMW M Hybrid V8 - Daytona - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Daytona,Cadillac V-Series.R,Hypercar/Daytona/Cadillac V-Series.R - Daytona - Stable.svm,Cadillac V-Series.R,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Daytona,Ferrari 499P,Hypercar/Daytona/Ferrari 499P - Daytona - Stable.svm,Alpine A424,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Daytona,Glickenhaus SCG 007,Hypercar/Daytona/Glickenhaus SCG 007 - Daytona - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Daytona,Isotta Fraschini Tipo 6,Hypercar/Daytona/Isotta Fraschini Tipo 6 - Daytona - Stable.svm,Isotta Fraschini Tipo 6,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Daytona,Lamborghini SC63,Hypercar/Daytona/Lamborghini SC63 - Daytona - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Daytona,Peugeot 9X8,Hypercar/Daytona/Peugeot 9X8 - Daytona - Stable.svm,Alpine A424,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Daytona,Peugeot 9X8 2024,Hypercar/Daytona/Peugeot 9X8 2024 - Daytona - Stable.svm,Alpine A424,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Daytona,Porsche 963,Hypercar/Daytona/Porsche 963 - Daytona - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Daytona,Toyota GR010 Hybrid,Hypercar/Daytona/Toyota GR010 Hybrid - Daytona - Stable.svm,Alpine A424,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Daytona,Vanwall Vandervell 680,Hypercar/Daytona/Vanwall Vandervell 680 - Daytona - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Laguna Seca,Alpine A424,Hypercar/Laguna Seca/Alpine A424 - Laguna Seca - Stable.svm,Alpine A424,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Laguna Seca,Aston Martin Valkyrie AMR-LMH,Hypercar/Laguna Seca/Aston Martin Valkyrie AMR-LMH - Laguna Seca - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Laguna Seca,BMW M Hybrid V8,Hypercar/Laguna Seca/BMW M Hybrid V8 - Laguna Seca - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Laguna Seca,Cadillac V-Series.R,Hypercar/Laguna Seca/Cadillac V-Series.R - Laguna Seca - Stable.svm,Cadillac V-Series.R,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Laguna Seca,Ferrari 499P,Hypercar/Laguna Seca/Ferrari 499P - Laguna Seca - Stable.svm,Alpine A424,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Laguna Seca,Glickenhaus SCG 007,Hypercar/Laguna Seca/Glickenhaus SCG 007 - Laguna Seca - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Laguna Seca,Isotta Fraschini Tipo 6,Hypercar/Laguna Seca/Isotta Fraschini Tipo 6 - Laguna Seca - Stable.svm,Isotta Fraschini Tipo 6,EXACT,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Laguna Seca,Lamborghini SC63,Hypercar/Laguna Seca/Lamborghini SC63 - Laguna Seca - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Laguna Seca,Peugeot 9X8,Hypercar/Laguna Seca/Peugeot 9X8 - Laguna Seca - Stable.svm,Alpine A424,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Laguna Seca,Peugeot 9X8 2024,Hypercar/Laguna Seca/Peugeot 9X8 2024 - Laguna Seca - Stable.svm,Alpine A424,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Laguna Seca,Porsche 963,Hypercar/Laguna Seca/Porsche 963 - Laguna Seca - Stable.svm,Cadillac V-Series.R,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Laguna Seca,Toyota GR010 Hybrid,Hypercar/Laguna Seca/Toyota GR010 Hybrid - Laguna Seca - Stable.svm,Alpine A424,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
Hypercar,Laguna Seca,Vanwall Vandervell 680,Hypercar/Laguna Seca/Vanwall Vandervell 680 - Laguna Seca - Stable.svm,Isotta Fraschini Tipo 6,INFERRED_VALIDATE,B,1.4.1,REVIEW_V141,BoP game-applied; brake duct revalidation required
